first_name,last_name,address,city,state,zip,manufacturer,sku,units_sold
Connor,Gardner,0953 Mills Falls Apt. 637,North Curtisburgh,Vermont,19659,Goodyear,sdjhfds84838,62
Jon,Trevino,733 Carla Avenue Apt. 922,Kristenbury,Delaware,85240,Goodyear,sdjhfds84838,31
Tyler,Jones,920 Walsh Curve Suite 485,East Seanborough,New York,73745,Yokohama,sdjhfds84838,52
James,Brown,0629 Matthew Gardens,North John,Iowa,54461,Goodyear,afkj98459,79
David,Adams,43786 Maria Islands,Vincenttown,Oklahoma,61126,Goodyear,sdjhfds84838,18
Nathan,Williams,75087 Moreno Track,North Stephentown,Georgia,77792,Hercules,jskf345,38
Gregory,Morris,9418 Shannon Cape,West Jodyberg,Utah,40169,Hercules,afkj98459,19
Steven,Costa,593 Jason Centers Apt. 764,Leeborough,Alabama,48499,Goodyear,sdfj384df,16
Gregory,Morris,608 Christensen Square Suite 873,West Stephanie,Louisiana,51799,Michelin,jskf345,12
Thomas,Cortez,0247 Harvey Summit,Rodrigueztown,Hawaii,85272,Perelli,jskf345,39
Connie,Salinas,0320 Dennis Plains,Amandaburgh,Connecticut,16402,Yokohama,afkj98459,5
Tanya,Meyer,77352 Steven Land,Lake Michaelhaven,Michigan,03213,Goodyear,afkj98459,47
Randall,Banks,554 Perez Squares,Timothyborough,Delaware,10382,Hercules,sdjhfds84838,32
Jacqueline,Hall,49400 Justin Springs,East Adrian,North Dakota,85050,Perelli,ggjr54983,19
Travis,Finley,770 Edward Ports Suite 542,North Carolton,Iowa,01848,Hercules,jskf345,50
Dawn,Williams,839 Watkins Forks,North Jamesland,West Virginia,39052,Goodyear,ggjr54983,41
Michael,Mcdonald,67976 Keller Lake Suite 333,New Deannaville,Rhode Island,99197,Yokohama,afkj98459,80
Omar,Bruce,34768 Crosby Crossing Suite 355,Port Anthony,Tennessee,66986,Michelin,sdfj384df,28
Christina,Krueger,8445 Reyes Roads Apt. 212,South Davidstad,Rhode Island,56845,Goodyear,sdfj384df,32
Colin,Bell,6610 Jensen Lane,Marcusburgh,Pennsylvania,06986,Michelin,jskf345,63
Richard,Arnold,869 Denise Garden,West Charleneberg,Utah,69774,Michelin,ggjr54983,16
Gregory,Browning,7905 Melendez Crest,West Abigail,Wisconsin,29358,Hercules,jskf345,36
Gabriella,Bauer,0361 Smith Course Apt. 151,New Nicole,Florida,66380,Michelin,afkj98459,21
Michelle,Atkinson,5916 Sabrina Lake Apt. 703,Port Jennifer,South Dakota,35653,Perelli,ggjr54983,8
Eddie,Scott,8992 Larry Ramp,Port Josephmouth,Minnesota,44657,Goodyear,jskf345,62
Lindsay,Thomas,7712 Jackson Dale,Lewischester,Wyoming,43056,Hercules,ggjr54983,10
Brianna,Campos,7201 Mora Square Suite 147,Robertside,Missouri,45284,Michelin,sdjhfds84838,75
Dana,Francis,198 Stephen River,Shaneview,North Dakota,77951,Goodyear,ggjr54983,13
Andrew,James,388 Morgan Mount Suite 727,West Deniseville,New Mexico,71467,Yokohama,ggjr54983,89
Scott,Mcdonald,35417 Ashley Springs,Danielborough,South Carolina,67131,Michelin,afkj98459,16
Nicole,Brown,18387 Mcgee Club,East William,Maryland,98028,Michelin,sdjhfds84838,43
Robert,Mcmillan,00964 Snow Forge,Crystalmouth,South Dakota,27161,Perelli,jskf345,18
Brandon,Green,90819 Dalton Corner,Lake Ericfurt,Massachusetts,82936,Hercules,ggjr54983,21
Jonathan,Smith,48897 Evans Throughway Apt. 267,East Kristen,Michigan,51764,Perelli,sdfj384df,9
Lisa,Jones,3644 Jensen Throughway,Port Erinport,Tennessee,51834,Goodyear,sdfj384df,69
Kimberly,Simpson,04819 Cheryl Road Apt. 264,Georgeburgh,North Carolina,53846,Yokohama,afkj98459,85
Angela,Johnson,35699 Sarah Dale Suite 784,Russobury,New York,52460,Perelli,afkj98459,47
